"id","value"
"The Palace of Auburn Hills, Auburn Hills, Michigan, United States",11
"TD Garden, Boston, Massachusetts, United States",10
"San Diego Sports Arena, San Diego, California, United States",10
"Prudential Center, Newark, New Jersey, United States",10
"Patriot Center, Fairfax, Virginia, United States",11
"Palms Casino Resort, Las Vegas, Nevada, United States",21
"Oracle Arena, Oakland, California, United States",11
"O2 Arena, London, England, England",10
"MGM Grand Garden Arena, Las Vegas, Nevada, United States",32
"Mandalay Bay Events Center, Las Vegas, Nevada, United States",11
"Konig Pilsener Arena, Oberhausen, Germany, Germany",10
"Honda Center, Anaheim, California, United States",11
"GM Place, Vancouver, British Columbia, Canada",11
"Frank Erwin Center, Austin, Texas, United States",10
"Ferrari World Concert Arena, Abu Dhabi, United Arab Emirates, United Arab Emirates",10
"Conseco Fieldhouse, Indianapolis, Indiana, United States",11
"Bojangles Coliseum, Charlotte, North Carolina, United States",11
"Bell Centre, Montreal, Quebec, Canada",22
"Acer Arena, Sydney, New South Wales, Australia",9
"1stBank Center, Broomfield, Colorado, United States",11
