"id",value
"Valley View Casino Center",12
"United Center",12
"Toyota Center",12
"The Chelsea at the Cosmopolitan",22
"Tele2 Arena",12
"TD Garden",12
"Staples Center",11
"SSE Hydro Arena",12
"Smoothie King Center",12
"Seminole Hard Rock Hotel and Casino",9
"SaskTel Centre",12
"Saitama Super Arena",10
"Prudential Center",11
"Patriot Center",10
"Olympic Gymnastics Arena",11
"O2 World",11
"Monterrey Arena",13
"MGM Grand Garden Arena",78
"Mexico City Arena",11
"Maracanazinho Gymnasium",12
"Mall of Asia Arena",12
"Krakow Arena",12
"HSBC Arena",13
"Goiania Arena",12
"Gigantinho Gymnasium",11
"Geraldo Jose de Almeida (Ibirapuera) State Gymnasium",13
"Etihad Stadium",13
"Bridgestone Arena",13
"Bell Centre",12
"Amway Center",13
"American Airlines Center",12
"Adelaide Entertainment Centre",12
"3Arena",10
"1stBank Center",10
